x,plus,minus,midpt
3.4956722873874594e-4,12 1,14 3,29
0.21251395953448576,13 1,14 1,19.5
0.9403316884549716,13 1,-5 3,20
1,13 1,-4 3,20.5
1,13 1,-3 3,21
1,13 1,-2 3,21.5
0.35894783169491334,13 1,-1 3,22
1,13 1,0 3,22.5
1,13 1,1 3,23
1,13 1,2 3,23.5
0.5158540804100646,13 1,3 3,24
0.6315315832054946,13 1,4 3,24.5
0.712810036090721,13 1,5 3,25
0.8062016854554088,13 1,6 3,25.5
1,13 1,7 3,26
0.7565150789089878,13 1,8 3,26.5
0.7142742119497786,13 1,9 3,27
0.7472580447775955,13 1,10 3,27.5
0.7069832850293478,13 1,11 3,28
1,13 1,12 3,28.5
0.9422632142304721,13 1,13 3,29
1,13 1,14 3,29.5
0.0024288876593678522,14 1,-5 3,20.5
0.34224779765824603,14 1,-4 3,21
0.4512437051729812,14 1,-3 3,21.5
0.11614228114096918,14 1,-2 3,22
1,14 1,-1 3,22.5
0.008503169808741625,14 1,0 3,23
0.5931094313344657,14 1,1 3,23.5
0.5604689733445785,14 1,2 3,24
1,14 1,3 3,24.5
0.9099602740198651,14 1,4 3,25
0.8078576961533648,14 1,5 3,25.5
0.7157413953576056,14 1,6 3,26
0.019205127889258673,14 1,7 3,26.5
1.3812821794669731e-4,14 1,8 3,27
0.8095171084460844,14 1,9 3,27.5
0.7320806870129691,14 1,10 3,28
1.8542378190375072e-4,14 1,11 3,28.5
0.32769437636518517,14 1,12 3,29
0.002452244476162049,14 1,13 3,29.5
0.46664900737907983,14 1,14 3,30
0.9212328636877596,-5 3,-4 3,21.5
0.7580690288528282,-5 3,-3 3,22
1,-5 3,-2 3,22.5
5.737081845415118e-4,-5 3,-1 3,23
1,-5 3,0 3,23.5
0.6156728341708192,-5 3,1 3,24
0.6459484924334594,-5 3,2 3,24.5
0.011203107970471856,-5 3,3 3,25
0.2504823745759236,-5 3,4 3,25.5
0.3967071948920061,-5 3,5 3,26
0.49634772879547573,-5 3,6 3,26.5
1,-5 3,7 3,27
1,-5 3,8 3,27.5
0.39752206711386934,-5 3,9 3,28
0.4600731297630734,-5 3,10 3,28.5
1,-5 3,11 3,29
0.9539359727853586,-5 3,12 3,29.5
1,-5 3,13 3,30
0.7487929799415991,-5 3,14 3,30.5
1,-4 3,-3 3,22.5
1,-4 3,-2 3,23
0.1623240051637243,-4 3,-1 3,23.5
1,-4 3,0 3,24
0.9558954429831977,-4 3,1 3,24.5
1,-4 3,2 3,25
0.46196513403362577,-4 3,3 3,25.5
0.5894694948896776,-4 3,4 3,26
0.6702531408261719,-4 3,5 3,26.5
0.7396304366349111,-4 3,6 3,27
1,-4 3,7 3,27.5
0.741149704006461,-4 3,8 3,28
0.6716299009986829,-4 3,9 3,28.5
0.72164032822261,-4 3,10 3,29
0.686962194069977,-4 3,11 3,29.5
1,-4 3,12 3,30
0.9231251587611862,-4 3,13 3,30.5
1,-4 3,14 3,31
1,-3 3,-2 3,23.5
0.4016216044041538,-3 3,-1 3,24
0.8769633909554622,-3 3,0 3,24.5
1,-3 3,1 3,25
1,-3 3,2 3,25.5
0.5536108411533207,-3 3,3 3,26
0.6954722830839725,-3 3,4 3,26.5
0.762750056640878,-3 3,5 3,27
0.8969831365071901,-3 3,6 3,27.5
1,-3 3,7 3,28
0.6472753286744347,-3 3,8 3,28.5
0.7643168137891829,-3 3,9 3,29
0.846899078184787,-3 3,10 3,29.5
0.5882611536257353,-3 3,11 3,30
1,-3 3,12 3,30.5
0.7658867891974426,-3 3,13 3,31
1,-3 3,14 3,31.5
0.021177984042898394,-2 3,-1 3,24.5
1,-2 3,0 3,25
0.8486386849840097,-2 3,1 3,25.5
0.8988256204621828,-2 3,2 3,26
0.37608261447169156,-2 3,3 3,26.5
0.5280653256018081,-2 3,4 3,27
0.6037090715866597,-2 3,5 3,27.5
0.6883732761391355,-2 3,6 3,28
1,-2 3,7 3,28.5
0.8503818650918976,-2 3,8 3,29
0.6024715409104529,-2 3,9 3,29.5
0.6486048903562636,-2 3,10 3,30
0.7426720920896963,-2 3,11 3,30.5
1,-2 3,12 3,31
1,-2 3,13 3,31.5
1,-2 3,14 3,32
0.00237764746986142,-1 3,0 3,25.5
0.5547480075621659,-1 3,1 3,26
0.5291500192264833,-1 3,2 3,26.5
1,-1 3,3 3,27
0.9006718890447664,-1 3,4 3,27.5
0.7674599894762507,-1 3,5 3,28
0.6897872566976461,-1 3,6 3,28.5
0.00901640272282965,-1 3,7 3,29
2.0132256706816668e-4,-1 3,8 3,29.5
0.7690364212497803,-1 3,9 3,30
0.7231226422950958,-1 3,10 3,30.5
2.3852656392621353e-4,-1 3,11 3,31
0.09808590259280939,-1 3,12 3,31.5
5.792251119745219e-4,-1 3,13 3,32
0.4118662661930448,-1 3,14 3,32.5
0.6912041416992685,0 3,1 3,26.5
0.7246080011738701,0 3,2 3,27
0.03340653530388402,0 3,3 3,27.5
0.3768551219522833,0 3,4 3,28
0.4824603272031081,0 3,5 3,28.5
0.5558875098129871,0 3,6 3,29
1,0 3,7 3,29.5
1,0 3,8 3,30
0.48345134406353035,0 3,9 3,30.5
0.5269828554680465,0 3,10 3,31
0.9578589381088787,0 3,11 3,31.5
1,0 3,12 3,32
1,0 3,13 3,32.5
0.8680118204124133,0 3,14 3,33
1,1 3,2 3,27.5
0.7084354922182017,1 3,3 3,28
0.8787647525543487,1 3,4 3,28.5
1,1 3,5 3,29
1,1 3,6 3,29.5
0.7441976072948376,1 3,7 3,30
0.5123878487901319,1 3,8 3,30.5
1,1 3,9 3,31
1,1 3,10 3,31.5
0.441266269566179,1 3,11 3,32
0.9250213407787139,1 3,12 3,32.5
0.6182047265074009,1 3,13 3,33
1,1 3,14 3,33.5
0.6730094891602885,2 3,3 3,28.5
0.8279971575541806,2 3,4 3,29
0.9598264664299637,2 3,5 3,29.5
1,2 3,6 3,30
0.799611519368285,2 3,7 3,30.5
0.5399940252109863,2 3,8 3,31
0.9617980362310001,2 3,9 3,31.5
1,2 3,10 3,32
0.48048438371258917,2 3,11 3,32.5
1,2 3,12 3,33
0.6526099840873941,2 3,13 3,33.5
1,2 3,14 3,34
1,3 3,4 3,29.5
1,3 3,5 3,30
0.880569814311811,3 3,6 3,30.5
0.25942764118278566,3 3,7 3,31
0.0011771738512824958,3 3,8 3,31.5
1,3 3,9 3,32
0.9269214177244736,3 3,10 3,32.5
1.2206120806863335e-4,3 3,11 3,33
0.4421726701309899,3 3,12 3,33.5
0.011275395449997552,3 3,13 3,34
0.5706905959760021,3 3,14 3,34.5
1,4 3,5 3,30.5
1,4 3,6 3,31
0.4629140519258154,4 3,7 3,31.5
0.013761241014385433,4 3,8 3,32
1,4 3,9 3,32.5
1,4 3,10 3,33
0.004813230185440234,4 3,11 3,33.5
0.5759617155557599,4 3,12 3,34
0.2640193663884859,4 3,13 3,34.5
