mc_id,sc_id,age,exposure,treatment,date,day,volume,replacement_volume,volume24,weekday,fecalsamp,hrs_bw_samplingpoints,volume_per_hour,volume24_corr,number of bees
11,2,1,pre,10 ppb,2020-09-12,-2,10,,3,Saturday,no,28.5,0.105263158,2.526315789,10
11,2,1,pre,10 ppb,2020-09-13,-1,5.5,10,4.5,Sunday,no,24,0.1875,4.5,10
11,2,1,pre,10 ppb,2020-09-14,0,5.5,9.5,4.5,Monday,yes,19.5,0.230769231,5.538461538,10
11,2,1,during,10 ppb,2020-09-15,1,5.5,10,4,Tuesday,no,24,0.166666667,4,10
11,2,1,during,10 ppb,2020-09-16,2,6.5,10,3.5,Wednesday,yes,24,0.145833333,3.5,10
11,2,1,during,10 ppb,2020-09-17,3,6,10,4,Thursday,yes,24,0.166666667,4,10
11,2,1,during,10 ppb,2020-09-18,4,5.5,10,4.5,Friday,no,24,0.1875,4.5,10
11,2,1,during,10 ppb,2020-09-19,5,6,13,4,Saturday,yes,24,0.166666667,4,10
11,2,1,post,10 ppb,2020-09-20,6,7.5,,5.5,Sunday,no,28.5,0.192982456,4.631578947,10
11,2,1,post,10 ppb,2020-09-21,7,3.5,13,4,Monday,no,19.5,0.205128205,4.923076923,10
11,2,1,post,10 ppb,2020-09-22,8,8,,5,Tuesday,yes,24,0.208333333,5,10
11,2,1,post,10 ppb,2020-09-23,9,4.5,,3.5,Wednesday,no,24,0.145833333,3.5,10
11,2,1,post,10 ppb,2020-09-24,10,1.5,12.5,3,Thursday,no,24,0.125,3,10
11,2,1,post,10 ppb,2020-09-25,11,8,,4.5,Friday,no,24,0.1875,4.5,10
11,2,1,post,10 ppb,2020-09-26,12,2.5,12.5,5.5,Saturday,no,28.5,0.192982456,4.631578947,10
11,2,1,post,10 ppb,2020-09-27,13,8.5,,4,Sunday,no,19.5,0.205128205,4.923076923,10
11,2,1,post,10 ppb,2020-09-28,14,4.5,,4,Monday,yes,28.5,0.140350877,3.368421053,10
12,2,1,pre,100ppb,2020-09-08,-6,12,,,Tuesday,no,24,,,10
12,2,1,pre,100ppb,2020-09-09,-5,9,,3,Wednesday,no,24,0.125,3,10
12,2,1,pre,100ppb,2020-09-10,-4,5.5,,3.5,Thursday,no,24,0.145833333,3.5,10
12,2,1,pre,100ppb,2020-09-11,-3,2,13,3.5,Friday,no,24,0.145833333,3.5,10
12,2,1,pre,100ppb,2020-09-12,-2,8,,5,Saturday,no,28.5,0.175438596,4.210526316,10
